,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
3025,PRS4M,RAC_PRS4M51C,ciscoNCS540,Loopback0,10.64.2.189,10.124.209.189,RAC,BKK,Cisco
3026,PCUTX,RAC_PCUTX21C,CISCO_ASR920CC,,,10.122.47.136,RAC,BKK,Cisco
3027,SP22M,RAC_SP22M21C,CISCO_ASR920CC,,,10.122.41.135,RAC,BKK,Cisco
3028,DS60M,RAC_DS60M21C,CISCO_ASR920CC,,,10.122.46.75,RAC,BKK,Cisco
3029,1DKGM,RAC_1DKGM21C,CISCO_ASR920CC,,,10.122.32.189,RAC,BKK,Cisco
3030,IP33M,RAC_IP33M51C,ciscoNCS540,Loopback0,10.64.3.205,10.124.210.205,RAC,BKK,Cisco
3031,MPHKP,RAC_MPHKP21C,CISCO_ASR920CC,,,10.122.46.93,RAC,BKK,Cisco
3032,BHNTM,RAC_BHNTM21C,CISCO_ASR920CC,,,10.122.47.215,RAC,BKK,Cisco
3033,WSWTM,RAC_WSWTM51C,ciscoNCS540,Loopback0,10.64.2.94,10.124.209.94,RAC,BKK,Cisco
3034,CP23M,RAC_CP23M21C,CISCO_ASR920CC,,,10.122.20.75,RAC,BKK,Cisco
3035,BDUNM,RAC_BDUNM51C,ciscoNCS540,Loopback0,10.64.9.155,10.124.216.155,RAC,BKK,Cisco
3036,SCRMM,RAC_SCRMM51C,ciscoNCS540,Loopback0,10.64.10.215,10.124.217.215,RAC,BKK,Cisco
3037,KUSSM,RAC_KUSSM21C,CISCO_ASR920CC,,,10.122.18.205,RAC,BKK,Cisco
3038,CGW1P,RAC_CGW1P21C,CISCO_ASR920CC,,,10.122.45.182,RAC,BKK,Cisco
3039,CRNKM,RAC_CRNKM51C,ciscoNCS540,Loopback0,10.64.6.151,10.124.213.151,RAC,BKK,Cisco
3040,PUDMM,RAC_PUDMM21C,CISCO_ASR920CC,,,10.122.27.104,RAC,BKK,Cisco
